epoch,train_loss,train_loss_cls,train_loss_reg,train_acc,train_prec,train_f1,train_yield_rmse,train_yield_mae,val_loss,val_loss_cls,val_loss_reg,val_acc,val_prec,val_f1,val_yield_rmse,val_yield_mae,lr,elapsed_s,gpu_mem_mb
1,3.41664,2.11177,6.52433,67.632,50.396,41.208,14.7295,6.9699,2.15147,1.36265,3.94407,81.842,82.798,57.003,10.0763,4.3593,9.98e-05,570.1,370.0
2,2.28774,1.38393,4.51906,83.063,78.649,62.514,10.942,4.9479,1.89106,1.17342,3.58821,88.163,86.95,70.692,9.1302,4.0021,9.94e-05,537.5,1382.0
3,2.11194,1.25681,4.27568,86.961,81.565,71.579,10.5537,4.7028,1.80207,1.11563,3.43219,89.516,87.762,77.25,8.8662,3.8425,9.86e-05,543.0,1382.0
4,2.01121,1.19482,4.08195,88.989,84.844,77.581,10.2358,4.5071,1.74997,1.07547,3.3725,90.924,88.801,80.662,8.7919,3.7822,9.76e-05,540.7,1382.0
5,1.94303,1.1532,3.94915,90.3,86.352,81.124,10.0013,4.3736,1.72069,1.05546,3.32615,91.586,89.483,82.779,8.6119,3.7378,9.62e-05,540.2,1382.0
6,1.90201,1.1232,3.89406,91.337,87.443,83.445,9.9657,4.3168,1.66874,1.0318,3.18467,92.314,90.178,85.197,8.4168,3.593,9.46e-05,538.0,1382.0
7,1.85993,1.10049,3.79725,92.077,88.539,84.795,9.7666,4.2189,1.66222,1.01489,3.23667,92.898,90.119,85.715,8.5554,3.6421,9.27e-05,535.2,1382.0
8,1.83395,1.08032,3.76813,92.635,89.764,86.339,9.7637,4.189,1.63083,1.00317,3.13826,93.259,89.158,86.114,8.3872,3.548,9.05e-05,532.4,1382.0
9,1.80522,1.06491,3.70152,93.194,90.461,87.283,9.6432,4.122,1.6236,0.9896,3.17003,93.626,90.094,87.226,8.5155,3.5775,8.81e-05,533.6,1382.0
10,1.78468,1.05044,3.67121,93.611,90.87,87.977,9.5881,4.0915,1.61367,0.9876,3.13038,93.701,90.656,87.524,8.4433,3.5405,8.55e-05,535.4,1382.0
11,1.76965,1.03853,3.65557,93.949,91.342,88.726,9.6827,4.0746,1.59837,0.98001,3.0918,93.899,91.699,88.097,8.3981,3.4985,8.26e-05,536.0,1382.0
12,1.74738,1.02621,3.60587,94.366,91.747,89.385,9.5723,4.0252,1.60298,0.98126,3.10858,93.812,91.538,88.05,8.2843,3.5126,7.96e-05,535.9,1382.0
13,1.73142,1.01815,3.56635,94.595,92.386,89.926,9.4218,3.9845,1.58713,0.96874,3.09194,94.335,91.524,88.85,8.3544,3.5004,7.64e-05,537.3,1382.0
14,1.73016,1.0161,3.57031,94.643,92.585,90.256,9.5481,3.9883,1.59449,0.98024,3.07125,93.83,91.15,88.034,8.349,3.4773,8.73e-05,541.6,324.0
15,1.7171,1.00869,3.54208,94.824,92.967,90.59,9.4751,3.9597,1.58014,0.971,3.0457,94.293,91.842,89.319,8.2894,3.4515,8.55e-05,536.7,1436.0
16,1.70813,1.00175,3.53188,95.037,93.013,90.93,9.4452,3.9491,1.57612,0.9669,3.0461,94.293,91.789,88.688,8.2481,3.4524,8.36e-05,541.8,1436.0
17,1.69747,0.99657,3.50452,95.157,93.179,90.978,9.3925,3.9207,1.58424,0.95855,3.12846,94.564,91.958,89.677,8.4484,3.5375,8.17e-05,540.3,1436.0
18,1.68325,0.98887,3.47192,95.416,93.7,91.635,9.3111,3.8881,1.5922,0.9628,3.14699,94.483,92.439,89.323,8.4958,3.5577,7.96e-05,543.7,1436.0
19,1.68018,0.98395,3.48117,95.534,93.968,91.937,9.4215,3.8974,1.56621,0.95614,3.05033,94.555,92.498,89.3,8.3442,3.4552,7.75e-05,541.1,1436.0
20,1.66386,0.97649,3.43686,95.834,94.314,92.296,9.2744,3.8525,1.56902,0.96154,3.03737,94.293,91.101,88.848,8.2697,3.4436,7.52e-05,537.3,1436.0
21,1.65498,0.97264,3.41172,95.94,94.455,92.401,9.3221,3.8269,1.56332,0.95486,3.04233,94.766,91.665,89.316,8.3267,3.4486,7.30e-05,549.8,1436.0
22,1.64792,0.96741,3.40254,96.053,94.821,92.874,9.2843,3.8172,1.56682,0.95553,3.05645,94.847,92.315,89.396,8.3214,3.4657,7.06e-05,545.6,1436.0
23,1.64224,0.96418,3.3903,96.216,94.937,92.969,9.2092,3.8052,1.5509,0.95144,2.99729,94.937,92.497,89.889,8.2325,3.402,6.82e-05,535.3,1436.0
24,1.63963,0.95897,3.4033,96.336,95.202,93.293,9.2682,3.818,1.56982,0.94824,3.10791,94.709,92.158,89.77,8.4869,3.5134,6.58e-05,554.0,1436.0
25,1.63221,0.95367,3.3927,96.507,95.467,93.655,9.271,3.8072,1.5515,0.94437,3.03568,95.133,92.352,90.043,8.2646,3.441,6.33e-05,569.2,1436.0
26,1.6269,0.95228,3.37314,96.537,95.522,93.689,9.2112,3.7878,1.54374,0.94316,3.00289,95.103,92.641,89.879,8.242,3.41,6.08e-05,535.5,1436.0
27,1.6232,0.949,3.37102,96.689,95.781,94.027,9.2315,3.7848,1.55607,0.93971,3.08181,95.286,92.99,90.408,8.3747,3.4875,5.82e-05,534.3,1436.0
28,1.60834,0.94489,3.31728,96.7,95.73,94.018,9.0986,3.7316,1.54419,0.94031,3.0194,95.066,93.245,90.103,8.2995,3.4242,5.57e-05,526.3,1436.0
29,1.61681,0.9417,3.37556,96.859,96.002,94.312,9.3494,3.7887,1.5491,0.94289,3.03106,95.051,92.779,90.311,8.2968,3.4351,5.31e-05,527.1,1436.0
30,1.60612,0.93913,3.33494,96.904,96.164,94.463,9.2192,3.7477,1.55457,0.94392,3.05322,94.979,92.886,90.297,8.325,3.4596,5.05e-05,530.1,1436.0
31,1.59866,0.93539,3.31637,97.053,96.226,94.529,9.1503,3.7297,1.54856,0.94017,3.04197,95.054,92.548,90.848,8.2749,3.4475,4.79e-05,526.1,1436.0
32,1.59319,0.93295,3.30121,97.077,96.365,94.987,9.1318,3.7138,1.54624,0.93998,3.03131,95.154,92.477,91.126,8.3703,3.4358,4.53e-05,525.3,1436.0
33,1.59028,0.92957,3.30354,97.236,96.623,95.259,9.1604,3.716,1.53987,0.93985,3.00008,95.226,92.655,90.354,8.2735,3.4064,4.28e-05,532.0,1436.0
34,1.58813,0.92807,3.30029,97.263,96.604,95.261,9.1302,3.7129,1.54308,0.94052,3.01283,95.187,92.767,90.756,8.2519,3.4193,4.02e-05,526.3,1436.0
35,1.58294,0.9251,3.28921,97.323,96.775,95.355,9.2014,3.7017,1.54056,0.93694,3.01807,95.25,93.277,91.058,8.2425,3.4252,3.77e-05,528.3,1436.0
36,1.58233,0.92347,3.29431,97.362,96.971,95.806,9.1365,3.7061,1.53665,0.9363,3.00175,95.262,92.467,90.9,8.2517,3.4066,3.52e-05,527.7,1436.0
37,1.57861,0.92144,3.28583,97.412,97.067,95.923,9.1973,3.6983,1.53578,0.9362,2.99788,95.229,93.18,90.606,8.2858,3.4011,3.28e-05,524.6,1436.0
38,1.57129,0.91939,3.25949,97.521,96.961,95.899,9.0365,3.6707,1.53778,0.93571,3.01037,95.316,93.328,91.751,8.2846,3.4131,3.04e-05,519.2,1436.0
39,1.57769,0.91776,3.29964,97.587,97.172,95.984,9.2756,3.7114,1.53331,0.93384,2.99734,95.25,93.229,90.955,8.289,3.4027,2.80e-05,521.0,1436.0
40,1.56981,0.91623,3.26793,97.593,97.118,96.062,9.1268,3.6793,1.53479,0.93749,2.98651,95.37,92.621,90.956,8.258,3.3902,2.58e-05,523.6,1436.0
41,1.57076,0.91419,3.28283,97.632,97.117,96.151,9.1646,3.6938,1.53122,0.93541,2.97905,95.391,92.644,90.919,8.2497,3.3839,2.35e-05,521.6,1436.0
42,1.55566,0.91282,3.2142,97.694,97.3,96.128,8.9312,3.6257,1.53534,0.93457,3.00387,95.337,92.613,91.123,8.2759,3.409,2.14e-05,522.4,1436.0
43,1.55484,0.91111,3.21862,97.758,97.508,96.524,9.0054,3.6299,1.54245,0.93778,3.02333,95.331,92.857,91.3,8.2881,3.4279,1.93e-05,520.9,1436.0
44,1.55339,0.90958,3.21909,97.789,97.638,96.668,8.9671,3.6298,1.54978,0.93807,3.05853,95.223,93.256,91.229,8.383,3.4607,1.74e-05,521.9,1436.0
45,1.55311,0.90877,3.22169,97.816,97.518,96.567,9.0403,3.6321,1.54294,0.93962,3.01658,95.355,92.583,91.145,8.3295,3.4195,1.55e-05,518.0,1436.0
46,1.5691,0.91711,3.25996,97.535,97.149,96.143,9.1277,3.6715,1.53798,0.93945,2.99263,95.208,92.448,91.342,8.2647,3.396,3.89e-05,534.8,358.0
47,1.56472,0.91516,3.24779,97.59,97.319,96.598,9.089,3.6587,1.54028,0.93816,3.01061,95.229,92.593,91.217,8.2524,3.4146,3.71e-05,534.5,1474.0
48,1.56132,0.91499,3.23164,97.631,97.382,96.465,9.073,3.6428,1.53276,0.94218,2.95292,95.0,92.417,91.306,8.21,3.3542,3.52e-05,521.6,1474.0
49,1.55809,0.91325,3.22422,97.685,97.479,96.631,8.9853,3.6353,1.5409,0.94154,2.9968,95.127,92.446,91.431,8.3127,3.3989,3.34e-05,525.1,1474.0
50,1.558,0.91239,3.22809,97.685,97.573,96.932,9.0059,3.6389,1.53876,0.94051,2.99124,95.048,92.514,91.523,8.289,3.3934,3.16e-05,524.5,1474.0
51,1.55461,0.91146,3.21573,97.679,97.511,96.903,9.0447,3.6259,1.53604,0.93848,2.98784,95.25,92.43,91.223,8.2614,3.3907,2.98e-05,525.1,1474.0
52,1.55736,0.90986,3.2375,97.783,97.548,96.757,9.0683,3.6482,1.53454,0.93584,2.99349,95.298,92.249,91.077,8.3056,3.3958,2.80e-05,523.3,1474.0
53,1.55898,0.9096,3.24692,97.755,97.517,96.886,9.21,3.6572,1.53809,0.93576,3.01165,95.328,92.372,91.011,8.3073,3.4139,2.63e-05,525.9,1474.0
54,1.5543,0.90729,3.23502,97.824,97.748,97.023,9.0885,3.6456,1.53232,0.93411,2.99103,95.253,93.05,91.872,8.2825,3.3928,2.46e-05,525.9,1474.0
55,1.55031,0.90719,3.21557,97.818,97.587,97.009,8.9964,3.6255,1.53007,0.9389,2.95584,95.175,92.5,91.269,8.1804,3.3614,2.30e-05,526.8,1474.0
56,1.54206,0.9056,3.18232,97.816,97.645,97.267,8.9932,3.5921,1.5257,0.93532,2.95193,95.217,92.68,91.133,8.2588,3.3542,2.14e-05,523.9,1474.0
57,1.54752,0.90524,3.21144,97.859,97.726,97.308,9.0138,3.6218,1.5366,0.93745,2.99576,95.259,92.888,91.746,8.2859,3.3996,1.99e-05,524.5,1474.0
58,1.54567,0.90441,3.2063,97.928,97.816,97.515,9.0196,3.6165,1.53002,0.93595,2.97033,95.238,92.489,91.502,8.2108,3.3734,1.84e-05,524.3,1474.0
59,1.53989,0.90313,3.18381,97.927,97.85,97.33,8.9654,3.5937,1.53349,0.93713,2.98177,95.28,92.449,91.21,8.2676,3.3862,1.69e-05,527.0,1474.0
